11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='coded'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='level'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='birds'}
11:24:20.429 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='robin'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='flood'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='blend'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='spied'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='blaze'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='huffs'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='epics'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='suite'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='soils'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='ovule'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='pours'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='moose'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='rebel'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='racks'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='busts'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='casks'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='snout'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='finch'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='round'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='tenor'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='inept'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='guppy'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='stood'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='sixth'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='feels'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='study'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='twins'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='tooth'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='taffy'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='snout'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='demon'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='dials'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='bench'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='booby'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='adult'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='tends'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='hoist'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='bushy'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='blush'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='soles'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='lures'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='elder'}
11:24:20.430 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='punch'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='badge'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='lithe'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='shade'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='grist'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='weary'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='force'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='butte'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='swift'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='brunt'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='merit'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='scent'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='howls'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='actor'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='crust'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='torch'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='roses'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='eying'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='bakes'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='eight'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='valve'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='stank'}
11:24:20.431 [main] INFO  uc.seng301.wordleapp.assignment5.game.Game - Guessing: { proposition='volts'}
